time,gear_displacement
0,0.0
0.015,0.017797591035906963
0.04,0.12550067544545127
0.08,0.4952188814874442
0.12,1.0989788876844988
0.16,1.9266049635950941
0.2,2.9679213787776275
0.24,4.2127524027906595
0.28,5.65092230519267
0.32,7.2722553555420575
0.36,9.066575823397338
0.4,11.023707978317036
0.44,13.133476089859547
0.48,15.38570442758339
0.52,17.770217261047044
0.56,20.276838859808993
0.6,22.895393493427665
0.64,25.615705431461592
0.68,28.427598943469246
0.72,31.32089829900907
0.76,34.285427767639575
0.8,37.31101161891917
0.84,40.38747412240645
0.88,43.50463954765977
0.92,46.6523321642377
0.96,49.82037624169866
1,52.998596049601154
1.04,56.1768158575036
1.08,59.34485993496455
1.12,62.49255255154249
1.16,65.6097179767958
1.2,68.68618048028308
1.24,71.71176433156272
1.28,74.67629380019319
1.32,77.56959315573302
1.36,80.38148666774066
1.4,83.10179860577459
1.44,85.72035323939326
1.48,88.22697483815521
1.52,90.61148767161887
1.56,92.86371600934271
1.6,94.97348412088523
1.64,96.93061627580492
1.68,98.7249367436602
1.72,100.34626979400959
1.76,101.7844396964116
1.8,103.02927072042465
1.84,104.07058713560716
1.88,104.89821321151776
1.92,105.5019732177148
1.96,105.8716914237568
2,105.99719209920231
