time,gripper_displacement
0,0.583462221599213
0.015,0.595416256019369
0.04,0.66778655137667
0.08,0.91660403786112
0.12,1.32421533734722
0.16,1.88553249455918
0.2,2.59595126660222
0.24,3.45122397189361
0.28,4.44733584723512
0.32,5.58038742197825
0.36,6.84648493874678
0.4,8.24164038099104
0.44,9.76168222637034
0.48,11.4021776482378
0.52,13.1583665480624
0.56,15.0251075270614
0.6,16.9968356968356
0.64,19.0675320808892
0.68,21.2307042599483
0.72,23.4793778476993
0.76,25.8060983315837
0.8,28.2029427572664
0.84,30.661540662465
0.88,33.1731035633443
0.92,35.7284621704646
0.96,38.3181103554264
1,40.9322547287089
1.04,43.5608685274598
1.08,46.1937483753997
1.12,48.8205723768581
1.16,51.430957958822
1.2,54.0145178861762
1.24,56.5609129486523
1.28,59.0598999501879
1.32,61.5013738141851
1.36,63.8754028398182
1.4,66.1722563912278
1.44,68.3824245588735
1.48,70.496629587161
1.52,72.5058291033511
1.56,74.4012114009753
1.6,76.1741832207737
1.64,77.8163506306345
1.68,79.3194937330287
1.72,80.6755360261879
1.76,81.8765092581933
1.8,82.9145151434975
1.84,83.781683707001
1.88,84.4701313201122
1.92,84.9719175594849
1.96,85.2790032154675
2,85.3832104303681
