gear_displacement,gripper_displacement
0.0,0.583462221599213
0.017797591035906963,0.595416256019369
0.12550067544545127,0.66778655137667
0.4952188814874442,0.91660403786112
1.0989788876844988,1.32421533734722
1.9266049635950941,1.88553249455918
2.9679213787776275,2.59595126660222
4.2127524027906595,3.45122397189361
5.65092230519267,4.44733584723512
7.2722553555420575,5.58038742197825
9.066575823397338,6.84648493874678
11.023707978317036,8.24164038099104
13.133476089859547,9.76168222637034
15.38570442758339,11.4021776482378
17.770217261047044,13.1583665480624
20.276838859808993,15.0251075270614
22.895393493427665,16.9968356968356
25.615705431461592,19.0675320808892
28.427598943469246,21.2307042599483
31.32089829900907,23.4793778476993
34.285427767639575,25.8060983315837
37.31101161891917,28.2029427572664
40.38747412240645,30.661540662465
43.50463954765977,33.1731035633443
46.6523321642377,35.7284621704646
49.82037624169866,38.3181103554264
52.998596049601154,40.9322547287089
56.1768158575036,43.5608685274598
59.34485993496455,46.1937483753997
62.49255255154249,48.8205723768581
65.6097179767958,51.430957958822
68.68618048028308,54.0145178861762
71.71176433156272,56.5609129486523
74.67629380019319,59.0598999501879
77.56959315573302,61.5013738141851
80.38148666774066,63.8754028398182
83.10179860577459,66.1722563912278
85.72035323939326,68.3824245588735
88.22697483815521,70.496629587161
90.61148767161887,72.5058291033511
92.86371600934271,74.4012114009753
94.97348412088523,76.1741832207737
96.93061627580492,77.8163506306345
98.7249367436602,79.3194937330287
100.34626979400959,80.6755360261879
101.7844396964116,81.8765092581933
103.02927072042465,82.9145151434975
104.07058713560716,83.781683707001
104.89821321151776,84.4701313201122
105.5019732177148,84.9719175594849
105.8716914237568,85.2790032154675
105.99719209920231,85.3832104303681
