time,gear_rack_displacement
0,0.0
0.015,0.0031062656250000487
0.04,0.021903999999999257
0.08,0.08643199999999496
0.12,0.19180799999999465
0.16,0.3362559999999988
0.2,0.5179999999999936
0.24,0.7352639999999937
0.28,0.9862719999999996
0.32,1.2692479999999975
0.36,1.582415999999995
0.4,1.9239999999999995
0.44,2.2922239999999974
0.48,2.685311999999996
0.52,3.1014879999999962
0.56,3.538975999999998
0.6,3.995999999999995
0.64,4.470783999999995
0.68,4.9615519999999975
0.72,5.466527999999997
0.76,5.983936
0.8,6.511999999999993
0.84,7.048943999999999
0.88,7.592991999999995
0.92,8.142367999999998
0.96,8.695295999999999
1,9.25
1.04,9.804703999999994
1.08,10.357631999999995
1.12,10.907007999999998
1.16,11.451055999999994
1.2,11.988
1.24,12.516064
1.28,13.033471999999996
1.32,13.538447999999995
1.36,14.029215999999998
1.4,14.503999999999998
1.44,14.961023999999995
1.48,15.398511999999997
1.52,15.814687999999997
1.56,16.207775999999996
1.6,16.575999999999993
1.64,16.917583999999998
1.68,17.230751999999995
1.72,17.513727999999993
1.76,17.764736
1.8,17.982
1.84,18.163743999999994
1.88,18.308192
1.92,18.413567999999998
1.96,18.478095999999994
2,18.5
